Date,Open,High,Low,Close
2015-01-19,3189.727051,3262.207031,3095.065918,3116.351074
2015-01-20,3114.560059,3190.245117,3100.477051,3173.052002
2015-01-21,3189.084961,3337.003906,3178.343018,3323.611084
2015-01-22,3327.319092,3352.384033,3293.978027,3343.343994
2015-01-23,3357.095947,3406.785889,3328.292969,3351.763916
2015-01-26,3347.25708,3384.798096,3321.314941,3383.181885
2015-01-27,3389.853027,3390.216064,3290.218994,3352.959961
2015-01-28,3325.721924,3354.802002,3294.655029,3305.738037
2015-01-29,3258.99707,3286.785889,3234.240967,3262.304932
2015-01-30,3273.74707,3288.50293,3210.308105,3210.363037
2015-02-02,3148.135986,3175.134033,3122.572021,3128.300049
2015-02-03,3156.085938,3207.935059,3129.731934,3204.906982
2015-02-04,3212.822021,3238.981934,3171.144043,3174.125977
2015-02-05,3251.211914,3251.211914,3135.819092,3136.531006
2015-02-06,3120.090088,3129.539063,3052.938965,3075.906982
2015-02-09,3063.51001,3119.033936,3049.111084,3095.124023
2015-02-10,3090.48999,3142.099121,3084.25293,3141.593018
2015-02-11,3145.764893,3166.420898,3139.052002,3157.704102
2015-02-12,3157.958984,3181.766113,3134.243896,3173.416016
2015-02-13,3186.808105,3237.158936,3182.793945,3203.826904
2015-02-16,3206.136963,3228.845947,3195.884033,3222.363037
2015-02-17,3230.884033,3255.725098,3230.771973,3246.906006
2015-02-25,3256.479004,3257.2229,3215.552002,3228.843018
2015-02-26,3222.150879,3300.615967,3202.187988,3298.358887
2015-02-27,3296.831055,3324.545898,3291.00708,3310.302979
2015-03-02,3332.720947,3336.76001,3298.668945,3336.284912
2015-03-03,3317.695068,3317.695068,3260.428955,3263.052002
2015-03-04,3264.181885,3286.587891,3250.483887,3279.532959
2015-03-05,3264.084961,3266.637939,3221.666016,3248.476074
2015-03-06,3248.035889,3266.933105,3234.532959,3241.187012
2015-03-09,3224.313965,3307.701904,3198.370117,3302.407959
2015-03-10,3289.084961,3309.915039,3277.094971,3286.068115
2015-03-11,3289.593994,3325.053955,3278.470947,3290.899902
2015-03-12,3314.812988,3360.053955,3300.488037,3349.322998
2015-03-13,3359.488037,3391.254883,3352.149902,3372.910889
2015-03-16,3391.157959,3449.304932,3377.086914,3449.304932
2015-03-17,3469.603027,3504.123047,3459.694092,3502.846924
2015-03-18,3510.500977,3577.662109,3503.853027,3577.301025
2015-03-19,3576.019043,3600.684082,3546.843994,3582.270996
2015-03-20,3587.083984,3632.337891,3569.379883,3617.318115
2015-03-23,3640.104004,3688.249023,3635.485107,3687.728027
2015-03-24,3692.569092,3715.873047,3600.697998,3691.409912
2015-03-25,3680.952881,3693.150879,3634.559082,3660.727051
2015-03-26,3641.941895,3707.318115,3615.010986,3682.094971
2015-03-27,3686.134033,3710.477051,3656.831055,3691.095947
2015-03-30,3710.612061,3795.935059,3710.612061,3786.568115
2015-03-31,3822.987061,3835.566895,3737.042969,3747.898926
2015-04-01,3748.340088,3817.082031,3742.212891,3810.293945
2015-04-02,3827.688965,3835.450928,3775.894043,3825.783936
2015-04-03,3803.383057,3864.405029,3792.210938,3863.928955
2015-04-07,3899.419922,3961.666016,3891.728027,3961.37793
2015-04-08,3976.531982,4000.219971,3903.647949,3994.811035
2015-04-09,4006.129883,4016.395996,3900.0271,3957.533936
2015-04-10,3947.491943,4040.3479,3929.319092,4034.310059
2015-04-13,4072.7229,4128.071777,4057.292969,4121.714844
2015-04-14,4125.782227,4168.346191,4091.25708,4135.564941
2015-04-15,4135.647949,4175.494141,4069.00708,4084.163086
2015-04-16,4055.916016,4195.305176,4031.243896,4194.823242
2015-04-17,4254.723145,4317.223145,4238.910156,4287.295898
2015-04-20,4301.352051,4356.000977,4190.681152,4217.077148
2015-04-21,4212.185059,4294.375,4188.568848,4293.623047
2015-04-22,4304.597168,4400.192871,4297.951172,4398.494141
2015-04-23,4414.484863,4444.410156,4358.844238,4414.507813
